2019-03-12 18:32:30,921 - ClusterTrainer - INFO - |  Hyperparameter  |         Value         |
| :--------------- | :-------------------- |
| lr               | 3.344654774494276e-05 |
| code_size        | 68                    |
| lin2_in_channels | 117                   |
| dropout          | 0.3063729927050812    |

2019-03-12 19:13:53,607 - ClusterTrainer - INFO -    > [306560/517313 (59%), 16.18s] Loss: 0.003825 
2019-03-12 19:13:56,640 - ClusterTrainer - INFO -    > [314624/517313 (61%), 15.35s] Loss: 0.003728 
2019-03-12 19:13:59,664 - ClusterTrainer - INFO -    > [322688/517313 (62%), 14.89s] Loss: 0.003551 
2019-03-12 19:14:02,695 - ClusterTrainer - INFO -    > [330752/517313 (64%), 14.14s] Loss: 0.003762 
2019-03-12 19:14:05,721 - ClusterTrainer - INFO -    > [338816/517313 (65%), 13.70s] Loss: 0.003830 
2019-03-12 19:14:08,738 - ClusterTrainer - INFO -    > [346880/517313 (67%), 13.02s] Loss: 0.003760 
2019-03-12 19:14:11,756 - ClusterTrainer - INFO -    > [354944/517313 (69%), 12.36s] Loss: 0.003772 
2019-03-12 19:14:14,762 - ClusterTrainer - INFO -    > [363008/517313 (70%), 11.72s] Loss: 0.003709 
2019-03-12 19:14:17,774 - ClusterTrainer - INFO -    > [371072/517313 (72%), 11.24s] Loss: 0.003648 
2019-03-12 19:14:20,786 - ClusterTrainer - INFO -    > [379136/517313 (73%), 10.48s] Loss: 0.003387 
2019-03-12 19:14:23,791 - ClusterTrainer - INFO -    > [387200/517313 (75%), 9.91s] Loss: 0.003558 
2019-03-12 19:14:26,804 - ClusterTrainer - INFO -    > [395264/517313 (76%), 9.29s] Loss: 0.003469 
2019-03-12 19:14:29,814 - ClusterTrainer - INFO -    > [403328/517313 (78%), 8.61s] Loss: 0.003576 
2019-03-12 19:14:32,822 - ClusterTrainer - INFO -    > [411392/517313 (79%), 7.90s] Loss: 0.003735 
2019-03-12 19:14:35,835 - ClusterTrainer - INFO -    > [419456/517313 (81%), 7.43s] Loss: 0.003506 
2019-03-12 19:14:38,840 - ClusterTrainer - INFO -    > [427520/517313 (83%), 6.85s] Loss: 0.003235 
2019-03-12 19:14:41,849 - ClusterTrainer - INFO -    > [435584/517313 (84%), 6.29s] Loss: 0.003283 
2019-03-12 19:14:44,861 - ClusterTrainer - INFO -    > [443648/517313 (86%), 5.60s] Loss: 0.003516 
2019-03-12 19:14:47,874 - ClusterTrainer - INFO -    > [451712/517313 (87%), 5.03s] Loss: 0.003632 
2019-03-12 19:14:50,891 - ClusterTrainer - INFO -    > [459776/517313 (89%), 4.47s] Loss: 0.003435 
2019-03-12 19:14:53,902 - ClusterTrainer - INFO -    > [467840/517313 (90%), 3.79s] Loss: 0.003499 
2019-03-12 19:14:56,921 - ClusterTrainer - INFO -    > [475904/517313 (92%), 3.17s] Loss: 0.003605 
2019-03-12 19:14:59,938 - ClusterTrainer - INFO -    > [483968/517313 (94%), 2.56s] Loss: 0.003314 
